# SYNTHETIC PLACEHOLDER DATA -- NOT MEASURED. Regenerate real
# numbers with bench_geqrf_compact; see report/data/README.md.
# nmat=512  interleave_width_V=8
# n  cqr_gflops  cqr_mats_s  armpl_mats_s  lapack_mats_s  sp_cqr_lap  sp_armpl_lap  sp_cqr_armpl  relerr
   8       5.313    7.7823e+06    6.0107e+06    1.9526e+06    3.986    3.078    1.295  1.20e-14
  16      11.514    2.1082e+06    1.7195e+06    6.5356e+05    3.226    2.631    1.226  1.20e-14
  24      16.650    9.0330e+05    7.6696e+05    3.2519e+05    2.778    2.358    1.178  1.20e-14
  30      18.853    5.2371e+05    4.5540e+05    2.0567e+05    2.546    2.214    1.150  1.20e-14
  32      20.645    4.7253e+05    4.1380e+05    1.9036e+05    2.482    2.174    1.142  1.20e-14
  45      24.341    2.0034e+05    1.8213e+05    9.2316e+04    2.170    1.973    1.100  1.20e-14
  48      26.119    1.7713e+05    1.6216e+05    8.3696e+04    2.116    1.938    1.092  1.20e-14
  60      27.937    9.7004e+04    9.0941e+04    4.9888e+04    1.944    1.823    1.067  1.20e-14
  64      29.515    8.4443e+04    7.9695e+04    4.4473e+04    1.899    1.792    1.060  1.20e-14
  96      33.295    2.8225e+04    2.7697e+04    1.7089e+04    1.652    1.621    1.019  1.20e-14
 105      33.712    2.1841e+04    2.1601e+04    1.3601e+04    1.606    1.588    1.011  1.20e-14
 128      35.254    1.2608e+04    1.2672e+04    8.3212e+03    1.515    1.523    0.995  1.20e-14
 168      36.630    5.7939e+03    5.9379e+03    4.1044e+03    1.412    1.447    0.976  1.20e-14
 170      36.131    5.5156e+03    5.6570e+03    3.9183e+03    1.408    1.444    0.975  1.20e-14
 256      37.067    1.6570e+03    1.7397e+03    1.2830e+03    1.292    1.356    0.952  1.20e-14
 384      36.355    4.8154e+02    5.1434e+02    3.9752e+02    1.211    1.294    0.936  1.20e-14
 500      34.236    2.0542e+02    2.2128e+02    1.7510e+02    1.173    1.264    0.928  1.20e-14
