# SYNTHETIC PLACEHOLDER DATA -- NOT MEASURED. Regenerate real
# numbers with bench_geqrf_compact; see report/data/README.md.
# nmat=512  interleave_width_V=8
# n  cqr_gflops  cqr_mats_s  mkl_mats_s  lapack_mats_s  sp_cqr_lap  sp_mkl_lap  sp_cqr_mkl  relerr
   8       6.641    9.7278e+06    7.0527e+06    2.1667e+06    4.490    3.255    1.379  1.20e-14
  16      14.392    2.6353e+06    1.9687e+06    7.4667e+05    3.529    2.637    1.339  1.20e-14
  24      20.812    1.1291e+06    8.6567e+05    3.7782e+05    2.989    2.291    1.304  1.20e-14
  30      23.567    6.5463e+05    5.1061e+05    2.4102e+05    2.716    2.119    1.282  1.20e-14
  32      25.806    5.9066e+05    4.6320e+05    2.2361e+05    2.642    2.071    1.275  1.20e-14
  45      30.427    2.5042e+05    2.0262e+05    1.0969e+05    2.283    1.847    1.236  1.20e-14
  48      32.649    2.2142e+05    1.8030e+05    9.9638e+04    2.222    1.810    1.228  1.20e-14
  60      34.921    1.2125e+05    1.0105e+05    5.9761e+04    2.029    1.691    1.200  1.20e-14
  64      36.894    1.0555e+05    8.8573e+04    5.3363e+04    1.978    1.660    1.192  1.20e-14
  96      41.619    3.5281e+04    3.0969e+04    2.0687e+04    1.705    1.497    1.139  1.20e-14
 105      42.140    2.7301e+04    2.4207e+04    1.6492e+04    1.655    1.468    1.128  1.20e-14
 128      44.068    1.5760e+04    1.4286e+04    1.0123e+04    1.557    1.411    1.103  1.20e-14
 168      45.788    7.2424e+03    6.7596e+03    5.0113e+03    1.445    1.349    1.071  1.20e-14
 170      45.164    6.8945e+03    6.4428e+03    4.7848e+03    1.441    1.347    1.070  1.20e-14
 256      46.334    2.0713e+03    2.0140e+03    1.5732e+03    1.317    1.280    1.028  1.20e-14
 384      45.444    6.0192e+02    6.0479e+02    4.8880e+02    1.231    1.237    0.995  1.20e-14
 500      42.795    2.5677e+02    2.6257e+02    2.1560e+02    1.191    1.218    0.978  1.20e-14
